"SampleID"	"StratUnit"	"Si"	"Ti"	"Al"	"Fe"	"Mg"	"Ca"	"Na"	"K"	"P"	"Rb"	"Nb"	"Zr"	"Th"	"V"	"Cr"	"Co"	"Ni"	"La"	"Er"	"Yb"	"Y"	"Ga"
190	"mJF"	6480.89434344746	165.277252591222	1631.9921300318	1064.57458973174	7274.63998967855	403.014405090108	342.051671099893	280.266677990573	76.0860630312163	0.37558004301035	0.867539990256859	0.919714110321845	0.0521466086819363	1.64895026648214	18.5590842390102	1.36595331663646	20.4111535538919	0.45714532541908	0.00400573956714098	0.00340961627369394	0.102355469297015	0.0975287925074939
191	"mJF"	6297.81823205064	167.781453388058	1059.22566131871	1068.33191181315	7301.93229523327	697.250585797487	335.597865984801	114.654550087053	78.9040653657058	0.209435600307952	0.975175224780042	0.913136893799877	0.0560252820549729	1.62931990616688	20.7900207900208	1.39479953574556	20.4281912446715	0.544254907113109	0.00418510104029654	0.00375635691169672	0.103480254673905	0.0817520760724582
192	"mJF"	6236.23808548989	171.537754583314	1098.45624136756	1025.74892822388	7172.91412352001	850.610049681333	361.41308644517	84.9292963607797	78.9040653657058	0.164974411415761	0.987015100577592	0.852845742348505	0.0616278102604702	1.70784134742793	27.0981862101196	1.8699137328365	25.3180084984002	0.48594188135099	0.00442424967117063	0.0039875173370319	0.0944819716587829	0.0831863230210978
193	"mJF"	5988.25317096147	176.546156176987	1043.53342929918	985.670826022211	7969.35322198073	709.7333328578	154.891322762216	67.9434370886237	92.9940770381533	0.115833097377024	1.18291122740979	0.96575462597562	0.0732638303795799	1.5115377442753	20.5207698269678	1.38970902649101	19.0992513638671	0.54065533762162	0.00418510104029654	0.00346740638002774	0.105729825427686	0.0702781004833412
194	"mJF"	6039.84734780966	175.294055778569	1047.45648730406	1042.0306572433	7852.74064370143	679.41808999704	174.252738107493	42.4646481803898	92.9940770381533	0.0725419397714695	1.06558882177952	0.850653336841182	0.0719709392552344	1.35449486175319	21.7131669490596	1.18778549272736	18.1281029894332	0.561532840672256	0.00400573956714098	0.00340961627369394	0.0978563277894537	0.0788835821751789
195	"lJF"	6401.00658574703	177.798256575405	1012.14896526011	1055.80750487513	6344.22048213098	1160.89547660912	387.228306905539	199.583846447832	101.448084041622	0.370899917863804	1.21089638838581	0.92409892133649	0.0616278102604702	1.7274717077432	24.2133544631232	1.71550161878194	23.3245986771937	0.594648879993953	0.00418510104029654	0.00329403606102635	0.0967315424125634	0.0917918047129355
196	"lJF"	6104.75615094126	227.882272512139	1263.22467757269	1024.49648753007	6994.27357807088	986.137017764732	290.421230179154	118.901014905092	101.448084041622	0.229326132180775	1.4606101324796	1.161974918881	0.078435394876962	1.74710206805846	25.6557703366214	1.29468618707282	17.3273315227947	0.692557170162449	0.00526126987922994	0.00444983818770227	0.128225532965491	0.0975287925074939
197	"lJF"	5766.89750899986	197.831862950099	1137.6868214164	1014.47696197966	7368.9224997767	1066.38324886674	206.521763682954	76.4363667247017	101.448084041622	0.138063691823119	1.3422113745041	0.977812856265895	0.0629207013848157	1.62931990616688	23.2902083040843	1.38631535365465	18.1621783709923	0.686797858976067	0.00430467535573359	0.00462320850670365	0.115852893819698	0.0874890638670166
198	"lJF"	5984.92451439061	217.865469324792	1522.14650589504	904.262180925078	6230.08902253848	1405.20066907524	464.673968286647	186.844451993715	115.538095714069	0.304208134525517	1.41863239101556	1.22884328685434	0.0810211771256531	1.92377531089583	23.1555828225578	1.11142785390917	13.5790395512954	0.726393123382444	0.00526126987922994	0.00462320850670365	0.134974245226833	0.106134274199332
199	"lJF"	5866.75720612539	219.117569723211	1314.22443163618	899.25241814987	7093.51832554262	975.437520284464	251.6983994886	118.901014905092	98.6300817071323	0.181354849428674	1.40571616287278	1.08633692887837	0.0879165964554959	1.33486450143792	21.3092905044801	0.887445446709155	10.018162178371	0.767428215585416	0.00496233409063733	0.00462320850670365	0.121476820704149	0.107568521147971
200	"lJF"	6182.97958035627	216.613368926374	1526.06956389993	1003.20499573544	6582.40787606316	957.605024484017	464.673968286647	199.583846447832	112.72009337958	0.37206994915044	1.32283703228992	1.27488380250811	0.0952429794934539	2.21823071562479	25.405751585215	1.22681273034554	15.1465071030133	0.770307871178607	0.00627765156044482	0.00514331946370781	0.140598172111284	0.11043701504525
201	"lJF"	5758.57586757273	179.050356973824	1196.53269148966	968.136656308982	7212.61202250871	1153.76247828894	206.521763682954	84.9292963607797	101.448084041622	0.154444129836032	1.11725373435064	1.04796983250022	0.0719709392552344	1.92377531089583	22.9055640711515	1.17251396496372	18.4858944958036	0.592489138299059	0.00520148272151142	0.00427646786870088	0.12485117683482	0.0889233108156562
202	"lJF"	6081.4555549453	242.907477293159	1298.53219961665	1047.04042001851	6867.73652504441	986.137017764732	354.959281330078	123.147479723131	104.266086376111	0.207095537734679	1.58546700452649	1.20582302902745	0.0797282860013075	1.78636278868899	27.3674371731726	1.38631535365465	17.3273315227947	0.734312176263719	0.00496233409063733	0.00439204808136847	0.127100747588601	0.0989630394561336
203	"lJF"	6199.62286321052	214.109168129537	1380.91641771921	1030.75869099908	7177.8763608936	702.600334537621	380.774501790447	148.626268631364	104.266086376111	0.24453653890705	1.35835665968258	1.22445847583969	0.0887785238717262	1.74710206805846	24.4826054261762	1.27262731363646	18.3325552787877	0.666640269823729	0.00472318545976324	0.00525889967637541	0.130475103719272	0.0917918047129355
204	"lJF"	6001.56779724487	216.613368926374	1180.84045947012	1018.23428406106	7698.91128512023	666.935342936727	225.883179028231	72.1899019066627	101.448084041622	0.119343191236934	1.34974584092072	1.07537490134175	0.08576177791492	1.62931990616688	25.405751585215	1.35407546170919	20.1726258829783	0.726393123382444	0.00597871577185221	0.00520110957004161	0.121476820704149	0.0774493352265393
205	"lJF"	5976.60287296349	234.142774504231	1526.06956389993	1030.75869099908	7711.3168785542	403.014405090108	309.782645524431	144.379803813325	112.72009337958	0.236346319900594	1.49397705518179	1.37902306410594	0.0844688867905745	1.90414495058057	26.8481674587132	1.38461851723646	18.3495929695673	0.750870195924567	0.00573956714097812	0.00456541840036986	0.145097313618845	0.133384966223484
206	"lJF"	5795.19108985209	190.319260559589	1153.37905343593	988.175707409815	7793.19379521839	816.728307660483	219.429373913139	101.915155632936	87.3580723691743	0.174334661708854	1.21627815011197	0.955888801192669	0.0818831045418834	1.5115377442753	24.3479799446497	1.30147353274555	18.3325552787877	0.655841561349263	0.00496233409063733	0.00335182616736015	0.116977679196588	0.100397286404773
207	"lJF"	5693.66706444113	230.386473308976	1408.3778237534	891.737773987057	6609.70018161789	1428.38291361582	277.51361994897	127.393944541169	112.72009337958	0.237516351187231	1.57793253810987	1.34284837323511	0.0814521408337682	2.13970927436373	26.7135419771868	1.31165455125464	15.231695556911	0.830060724737322	0.00532105703694846	0.00520110957004161	0.152970811257077	0.101831533353413
208	"lJF"	6008.22511038657	221.621770520047	1459.3775778169	978.156181859399	6240.01349728566	1250.05795561135	484.035383631924	182.597987175676	107.084088710601	0.366219792717257	1.42724320977741	1.36696483381566	0.0982597254502601	2.1004485537332	26.7135419771868	1.240387421691	16.2880323852426	0.760948990500736	0.00609829008728925	0.00496994914470643	0.148471669749516	0.107568521147971
209	"lJF"	5963.28824668008	222.873870918466	1369.14724370456	994.437910878825	6741.19947201794	1109.18123878782	361.41308644517	140.133338995286	104.266086376111	0.274957352359602	1.42831956212264	1.25515215294221	0.0900714149960718	1.98266639184162	27.3674371731726	1.32183556976373	17.7021607199447	0.773187526771798	0.00687552313763004	0.00572122052704577	0.159719523518419	0.100397286404773
210	"lJF"	6136.37838836435	207.848666137446	1286.76302560199	1080.85631875117	7505.38402755034	624.137353015653	283.967425064062	89.1757611788186	109.90209104509	0.188375037148493	1.42831956212264	1.19266859598351	0.0853308142068048	1.76673242837372	22.9055640711515	1.20136018407281	18.4688568050241	0.727113037280741	0.00591892861413368	0.00508552935737402	0.131599889096162	0.0989630394561336
